City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current description,Rain inches(last 3 hrs),Snow inches(last 3 hrs)
52,Bilma,18.69,12.92,58.37,20,0,11.12,NE,2020-02-24 23:02:19,clear sky,0.0,0.0
53,Bambous Virieux,-20.34,57.76,75.99,88,20,3.36,MU,2020-02-24 23:02:19,few clouds,0.0,0.0
54,Douglas,41.3,-96.17,46.4,48,1,13.87,US,2020-02-24 23:02:19,clear sky,0.0,0.0
55,Khani,41.96,42.96,48.2,100,90,1.12,GE,2020-02-24 23:02:19,light rain,0.0,0.0
56,Brae,60.4,-1.35,37.4,74,100,12.75,GB,2020-02-24 23:02:19,overcast clouds,0.0,0.0
57,Tarakan,3.3,117.63,77.18,85,38,6.71,ID,2020-02-24 23:02:20,scattered clouds,0.0,0.0
58,Maragogi,-9.01,-35.22,82.31,78,44,13.2,BR,2020-02-24 23:00:50,scattered clouds,0.0,0.0
59,Hithadhoo,-0.6,73.08,83.23,76,73,10.58,MV,2020-02-24 23:01:50,moderate rain,4.38,0.0
60,Illoqqortoormiut,70.48,-21.96,-9.04,53,100,5.95,GL,2020-02-24 23:02:20,overcast clouds,0.0,0.0
61,Guatire,10.48,-66.54,71.01,96,93,8.05,VE,2020-02-24 23:02:21,overcast clouds,0.0,0.0
62,Port Alfred,-33.59,26.89,62.01,88,0,3.0,ZA,2020-02-24 23:02:21,clear sky,0.0,0.0
63,Slavutych,51.52,30.73,32.05,81,1,10.38,UA,2020-02-24 23:02:21,clear sky,0.0,0.0
64,Ushuaia,-54.8,-68.3,44.6,81,75,38.03,AR,2020-02-24 23:02:21,light intensity drizzle,0.0,0.0
65,Bagacay,13.95,122.24,76.66,82,67,8.19,PH,2020-02-24 23:02:22,broken clouds,0.0,0.0
66,Dubrovytsya,51.57,26.57,32.99,86,40,7.65,UA,2020-02-24 23:02:22,scattered clouds,0.0,0.0
67,Klaksvik,62.23,-6.59,37.4,69,100,17.22,FO,2020-02-24 23:02:22,overcast clouds,0.0,0.0
68,Vaini,-21.2,-175.2,86.0,79,20,6.93,TO,2020-02-24 23:02:22,few clouds,0.0,0.0
69,Mazatlan,23.22,-106.42,80.6,47,75,11.41,MX,2020-02-24 22:58:30,broken clouds,0.0,0.0
70,Tuatapere,-46.13,167.68,56.32,97,100,1.92,NZ,2020-02-24 23:02:23,light rain,1.44,0.0
71,Bethel,40.66,-73.61,54.0,57,1,15.77,US,2020-02-24 22:59:03,clear sky,0.0,0.0
72,Bam,13.5,-1.67,75.58,12,85,12.66,BF,2020-02-24 23:02:24,overcast clouds,0.0,0.0
73,Bundaberg,-24.85,152.35,84.99,88,75,12.75,AU,2020-02-24 23:02:24,light rain,0.0,0.0
74,Lewistown,40.6,-77.57,55.99,37,75,1.86,US,2020-02-24 23:02:24,broken clouds,0.0,0.0
75,Sedro-Woolley,48.5,-122.24,46.99,61,90,4.7,US,2020-02-24 23:02:24,overcast clouds,0.0,0.0
76,Conakry,9.57,-13.65,79.03,81,79,3.27,GN,2020-02-24 23:02:24,broken clouds,0.0,0.0
77,Suntar,62.14,117.63,7.61,93,52,6.02,RU,2020-02-24 23:02:25,broken clouds,0.0,0.0
78,Karaul,37.22,68.78,52.12,72,67,5.88,AF,2020-02-24 23:02:25,broken clouds,0.0,0.0
79,Maceio,-9.67,-35.74,80.6,83,40,8.05,BR,2020-02-24 23:02:25,scattered clouds,0.0,0.0
80,Udachnyy,66.42,112.4,5.0,92,2,6.71,RU,2020-02-24 23:02:25,clear sky,0.0,0.0
81,Hannan,34.32,135.23,48.2,70,75,8.05,JP,2020-02-24 23:02:26,broken clouds,0.0,0.0
82,Mainit,7.53,126.02,77.0,88,90,6.93,PH,2020-02-24 23:02:26,overcast clouds,0.0,0.0
83,Port Macquarie,-31.43,152.92,80.01,88,75,2.24,AU,2020-02-24 23:02:26,broken clouds,0.0,0.0
84,Hermanus,-34.42,19.23,66.0,69,0,8.99,ZA,2020-02-24 23:02:26,clear sky,0.0,0.0
85,Touros,-5.2,-35.46,82.4,78,40,8.05,BR,2020-02-24 23:02:27,scattered clouds,0.0,0.0
86,Baykit,61.67,96.37,-3.06,98,54,1.21,RU,2020-02-24 23:02:27,broken clouds,0.0,0.0
87,Viedma,-40.81,-63.0,59.86,61,71,7.4,AR,2020-02-24 23:01:21,broken clouds,0.0,0.0
88,Barrow,54.12,-3.23,42.01,2,67,15.99,GB,2020-02-24 23:02:27,light rain,0.19,0.0
89,Kodiak,57.79,-152.41,33.8,69,90,31.09,US,2020-02-24 23:02:28,light snow,0.0,0.0
90,Antofagasta,-23.65,-70.4,68.0,77,40,13.87,CL,2020-02-24 23:00:37,scattered clouds,0.0,0.0
91,Petropavlovsk-Kamchatskiy,53.05,158.65,23.0,57,100,2.24,RU,2020-02-24 23:02:28,overcast clouds,0.0,0.0
92,Hobart,-42.88,147.33,68.0,63,20,11.41,AU,2020-02-24 22:59:06,few clouds,0.0,0.0
93,Nikolskoye,59.7,30.79,32.0,64,3,11.18,RU,2020-02-24 23:02:28,clear sky,0.0,0.0
94,Narragansett,41.43,-71.46,50.0,70,1,9.17,US,2020-02-24 22:59:34,clear sky,0.0,0.0
95,Beboto,8.27,16.94,73.9,17,1,6.15,TD,2020-02-24 23:02:29,clear sky,0.0,0.0
96,Victoria,22.29,114.16,70.0,77,20,5.82,HK,2020-02-24 22:59:01,few clouds,0.0,0.0
97,Tyukhtet,56.54,89.3,5.58,95,15,5.84,RU,2020-02-24 23:02:29,few clouds,0.0,0.0
98,Cape Town,-33.93,18.42,68.0,77,0,6.93,ZA,2020-02-24 22:58:41,clear sky,0.0,0.0
99,Avarua,-21.21,-159.78,86.0,84,100,5.82,CK,2020-02-24 23:02:30,light rain,0.88,0.0
100,Saskylakh,71.92,114.08,15.21,87,100,16.04,RU,2020-02-24 23:02:30,overcast clouds,0.0,0.0
101,Padang,-0.95,100.35,70.11,88,7,5.37,ID,2020-02-24 23:02:30,clear sky,0.0,0.0
102,Sao Joao Da Barra,-21.64,-41.05,77.0,78,100,8.16,BR,2020-02-24 23:02:30,overcast clouds,0.0,0.0
103,San Francisco,37.77,-122.42,75.0,31,1,9.17,US,2020-02-24 23:01:56,light rain,0.0,0.0
104,Necochea,-38.55,-58.74,64.99,51,95,1.99,AR,2020-02-24 22:58:26,overcast clouds,0.0,0.0
105,Anchorage,61.17,-149.25,18.0,61,1,4.7,US,2020-02-24 23:00:07,clear sky,0.0,0.0
106,Castro,-24.79,-50.01,63.86,98,10,5.44,BR,2020-02-24 23:00:19,light rain,2.31,0.0
107,Arraial Do Cabo,-22.97,-42.03,73.4,88,75,4.7,BR,2020-02-24 23:01:52,broken clouds,0.0,0.0
108,Narsaq,60.92,-46.05,12.2,36,0,4.7,GL,2020-02-24 23:02:32,clear sky,0.0,0.0
109,Kahului,20.89,-156.47,80.6,65,20,18.34,US,2020-02-24 23:02:32,few clouds,0.0,0.0
110,Bilibino,68.05,166.44,-20.27,86,0,2.21,RU,2020-02-24 23:02:32,clear sky,0.0,0.0
111,Okhotsk,59.38,143.3,-8.63,73,0,10.78,RU,2020-02-24 23:02:32,clear sky,0.0,0.0
112,Qaanaaq,77.48,-69.36,-17.28,48,33,7.31,GL,2020-02-24 23:02:32,scattered clouds,0.0,0.0
113,Comodoro Rivadavia,-45.87,-67.5,62.6,72,75,14.99,AR,2020-02-24 22:59:19,light intensity shower rain,0.0,0.0
114,Tsihombe,-25.3,45.48,69.22,78,84,10.33,MG,2020-02-24 23:02:33,broken clouds,0.0,0.0
115,Saint George,8.48,-13.23,75.47,82,87,3.71,SL,2020-02-24 23:02:33,overcast clouds,0.0,0.0
