City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
263,Ahipara,NZ,84.99,clear sky,-35.17,173.17,Ahipara Holiday Park
265,Taburi,PH,80.92,overcast clouds,8.68,117.34,Southern Comfort
266,Dakar,SN,77.0,dust,14.69,-17.44,Hotel Novotel Dakar
269,Alofi,NU,84.2,broken clouds,-19.06,-169.92,Taloa Heights
271,Port Keats,AU,88.74,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
273,Kawalu,ID,73.53,light rain,-7.38,108.21,KOSAN UNGU UNSIK
275,Tutoia,BR,76.37,moderate rain,-2.76,-42.27,Pousada Guará's
279,Salinopolis,BR,81.57,light rain,-0.61,-47.36,Hotel Salinópolis
280,Palmas,ES,78.01,scattered clouds,28.1,-15.41,Hotel THe Fataga & Centro de Negocios
283,Itaituba,BR,76.73,light rain,-4.28,-55.98,Hotel Campos
291,Batemans Bay,AU,73.99,clear sky,-35.72,150.18,Coachhouse Marina Resort - Batemans Bay
294,Airai,PW,80.6,broken clouds,7.37,134.52,Shell Villa apartel resort
299,Buala,SB,85.01,few clouds,-8.14,159.59,Maringe Lagoon Lodge
300,Thinadhoo,MV,82.65,light rain,0.53,72.93,
301,Kokopo,PG,82.8,scattered clouds,-4.35,152.26,Kokopo Beach Bungalow Resort
306,Xuddur,SO,72.52,overcast clouds,4.12,43.89,Banjanay Hotel
307,Saint-Philippe,RE,78.8,scattered clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
309,Nambour,AU,77.0,light rain,-26.63,152.95,Nambour Lodge Motel
311,Acarau,BR,76.01,light rain,-2.89,-40.12,castelo pizzaria
312,Poli,TZ,70.16,overcast clouds,-3.33,36.8,Peace Matunda Campsite and Backpackers
314,Matara,LK,71.83,clear sky,5.95,80.54,Amaloh Boutique Resort
315,Almeirim,BR,76.78,light rain,-1.52,-52.58,Ricácio Hotel
320,Sao Miguel Do Oeste,BR,77.0,light rain,-26.73,-53.52,Figueiras Hotel & Eventos
322,Gamba,GA,78.13,light rain,-2.65,10.0,
325,Bathsheba,BB,78.8,scattered clouds,13.22,-59.52,Atlantis Hotel
326,Palabuhanratu,ID,77.49,overcast clouds,-6.99,106.55,Hotel Augusta Pelabuhan Ratu
329,Eyl,SO,76.37,overcast clouds,7.98,49.82,Amiin Hotel
333,Aquin,HT,75.2,light rain,18.28,-73.4,Asheev Beach
334,Micheweni,TZ,83.91,clear sky,-4.97,39.83,
336,Buta,CD,70.68,overcast clouds,2.79,24.73,HOTEL BISO NA BISO
338,Hualmay,PE,76.1,scattered clouds,-11.1,-77.61,Hotel Restaurant Turístico Casablanca
342,Madang,PG,81.5,light rain,-5.22,145.8,Comfort Inn Hotel
343,Luanda,AO,80.6,broken clouds,-8.84,13.23,EPIC SANA Luanda
345,Souillac,MU,75.99,few clouds,-20.52,57.52,Bils' Villa
347,Merauke,ID,85.32,broken clouds,-8.47,140.33,
350,Grand Gaube,MU,75.99,few clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
359,Japura,ID,73.98,overcast clouds,-0.32,102.35,Wajiman Homestay
362,Pimenta Bueno,BR,74.46,scattered clouds,-11.67,-61.19,Cristalina Palace Hotel
364,Santiago De Cao,PE,75.2,mist,-7.96,-79.24,Fam. Palomino Gamarra
365,Flinders,AU,77.0,clear sky,-34.58,150.86,Shellharbour Resort & Conference Centre
367,Laguna,PH,78.8,scattered clouds,14.17,121.33,Hacienda de Bandian
374,Dondo,MZ,73.13,overcast clouds,-19.61,34.74,Arco Iris
376,Chara,MX,82.4,few clouds,19.75,-101.05,Motel & Suites Charo
381,Caravelas,BR,81.12,light rain,-17.71,-39.25,Pousada dos Navegantes
386,Beberibe,BR,82.4,few clouds,-4.18,-38.13,Villa Arte Pousada Morro Branco
389,Labuhan,ID,77.0,mist,3.73,98.67,Rumahnya Ibnu Sina
394,Katobu,ID,80.8,broken clouds,-4.94,122.53,La Ode Gombe
395,Kavaratti,IN,81.1,few clouds,10.57,72.64,Hotels in Lakshadweep Islands
396,Bourail,NC,82.67,overcast clouds,-21.57,165.48,Nekweta
